locking,job,threads,keys,duration,cycles
coarse,read_write,8,1000000,0.0092021,24027308
coarse,write_only,12,10000,0.00958512,25027222
coarse,read_only,12,10000,0.0012944,3379722
coarse,read_write,12,10000,0.00413433,10794490
coarse,write_only,12,100000,0.0187699,49009566
coarse,read_only,12,100000,0.00127716,3334590
coarse,read_write,12,100000,0.00804542,21007190
coarse,write_only,12,1000000,0.0223105,58254486
coarse,read_only,12,1000000,0.00124088,3239962
coarse,read_write,12,1000000,0.0108094,28223226
coarse,write_only,1,10000,0.0099477,25973644
coarse,read_only,1,10000,0.00118325,3089580
coarse,read_write,1,10000,0.00401402,10480878
coarse,write_only,1,100000,0.0188493,49216282
coarse,read_only,1,100000,0.00120771,3153432
coarse,read_write,1,100000,0.00749508,19570166
coarse,write_only,1,1000000,0.0234995,61359050
coarse,read_only,1,1000000,0.00116888,3052046
coarse,read_write,1,1000000,0.0090122,23530780
coarse,write_only,2,10000,0.00924539,24140662
coarse,read_only,2,10000,0.00120161,3137332
coarse,read_write,2,10000,0.00393391,10271568
coarse,write_only,2,100000,0.019007,49628052
coarse,read_only,2,100000,0.00123473,3223890
coarse,read_write,2,100000,0.00772647,20173800
coarse,write_only,2,1000000,0.0218564,57068936
coarse,read_only,2,1000000,0.00116834,3050544
coarse,read_write,2,1000000,0.0105941,27661704
coarse,write_only,4,10000,0.00904356,23613800
coarse,read_only,4,10000,0.00122941,3209578
coarse,read_write,4,10000,0.00400309,10452314
coarse,write_only,4,100000,0.0186615,48726210
coarse,read_only,4,100000,0.00124985,3263448
coarse,read_write,4,100000,0.00904374,23613486
coarse,write_only,4,1000000,0.0235088,61383228
coarse,read_only,4,1000000,0.00114093,2979034
coarse,read_write,4,1000000,0.00885346,23117414
coarse,write_only,8,10000,0.00917957,23968834
coarse,read_only,8,10000,0.00132241,3452170
coarse,read_write,8,10000,0.00417082,10890318
coarse,write_only,8,100000,0.0194404,50760106
coarse,read_only,8,100000,0.00123418,3222450
coarse,read_write,8,100000,0.00797109,20812652
coarse,write_only,8,1000000,0.0238791,62349754
coarse,read_only,8,1000000,0.00120697,3151466
coarse,read_write,8,1000000,0.00894721,23361964
coarse,write_only,12,10000,0.00929667,24274054
coarse,read_only,12,10000,0.00138333,3611504
coarse,read_write,12,10000,0.00416909,10885972
coarse,write_only,12,100000,0.019359,50547964
coarse,read_only,12,100000,0.00127488,3328058
coarse,read_write,12,100000,0.00694829,18142440
coarse,write_only,12,1000000,0.0237054,61896330
coarse,read_only,12,1000000,0.0012321,3217070
coarse,read_write,12,1000000,0.0107931,28180560
coarse,write_only,1,10000,0.00913079,23841072
coarse,read_only,1,10000,0.00118907,3104416
coarse,read_write,1,10000,0.00422587,11033650
coarse,write_only,1,100000,0.0191363,49966138
coarse,read_only,1,100000,0.00117126,3058132
coarse,read_write,1,100000,0.00762569,19911308
coarse,write_only,1,1000000,0.0236114,61651668
coarse,read_only,1,1000000,0.00112907,2948010
coarse,read_write,1,1000000,0.00891762,23284242
coarse,write_only,2,10000,0.00895561,23383810
coarse,read_only,2,10000,0.00125932,3287664
coarse,read_write,2,10000,0.00406305,10608902
coarse,write_only,2,100000,0.0195508,51048454
coarse,read_only,2,100000,0.0012008,3135184
coarse,read_write,2,100000,0.00719689,18791900
coarse,write_only,2,1000000,0.023652,61756878
coarse,read_only,2,1000000,0.00123624,3227866
coarse,read_write,2,1000000,0.0100521,26246906
coarse,write_only,4,10000,0.009271,24206514
coarse,read_only,4,10000,0.00122398,3195704
coarse,read_write,4,10000,0.00415414,10846404
coarse,write_only,4,100000,0.0187472,48950418
coarse,read_only,4,100000,0.00113923,2974578
coarse,read_write,4,100000,0.00740529,19335290
coarse,write_only,4,1000000,0.0233694,61019074
coarse,read_only,4,1000000,0.00118638,3097722
coarse,read_write,4,1000000,0.00868737,22682852
coarse,write_only,8,10000,0.00930515,24296306
coarse,read_only,8,10000,0.0013492,3522282
coarse,read_write,8,10000,0.00421816,11014110
coarse,write_only,8,100000,0.0182298,47599158
coarse,read_only,8,100000,0.00130421,3404736
coarse,read_write,8,100000,0.00857369,22386416
coarse,write_only,8,1000000,0.0212997,55614666
coarse,read_only,8,1000000,0.00127562,3330696
coarse,read_write,8,1000000,0.0116979,30543760
coarse,write_only,12,10000,0.0091422,23870894
coarse,read_only,12,10000,0.00132781,3466110
coarse,read_write,12,10000,0.00406576,10615954
coarse,write_only,12,100000,0.0190151,49649928
coarse,read_only,12,100000,0.00122911,3209076
coarse,read_write,12,100000,0.00864302,22567218
coarse,write_only,12,1000000,0.0240048,62677984
coarse,read_only,12,1000000,0.00124837,3259544
coarse,read_write,12,1000000,0.00949123,24781986
coarse,write_only,1,10000,0.00896654,23412220
coarse,read_only,1,10000,0.00121294,3166856
coarse,read_write,1,10000,0.0040445,10560270
coarse,write_only,1,100000,0.0179476,46862626
coarse,read_only,1,100000,0.00117373,3064632
coarse,read_write,1,100000,0.00860865,22477186
coarse,write_only,1,1000000,0.0225061,58765316
coarse,read_only,1,1000000,0.00120117,3136338
coarse,read_write,1,1000000,0.00989107,25826130
coarse,write_only,2,10000,0.00912892,23836450
coarse,read_only,2,10000,0.00123799,3232054
coarse,read_write,2,10000,0.00417346,10897022
coarse,write_only,2,100000,0.0180765,47199058
coarse,read_only,2,100000,0.00115866,3025338
coarse,read_write,2,100000,0.0084061,21948592
coarse,write_only,2,1000000,0.0240746,62860368
coarse,read_only,2,1000000,0.00115921,3026778
coarse,read_write,2,1000000,0.00877414,22909806
coarse,write_only,4,10000,0.00939756,24537930
coarse,read_only,4,10000,0.0012701,3315988
coarse,read_write,4,10000,0.00417706,10906650
coarse,write_only,4,100000,0.0191529,50009278
coarse,read_only,4,100000,0.00120102,3135936
coarse,read_write,4,100000,0.00741374,19357560
coarse,write_only,4,1000000,0.0236963,61872174
coarse,read_only,4,1000000,0.00118751,3100598
coarse,read_write,4,1000000,0.00876662,22890320
coarse,write_only,8,10000,0.00901468,23538368
coarse,read_only,8,10000,0.00130341,3403106
coarse,read_write,8,10000,0.00412082,10759758
coarse,write_only,8,100000,0.0190635,49776110
coarse,read_only,8,100000,0.00117935,3079284
coarse,read_write,8,100000,0.00746451,19490140
coarse,write_only,8,1000000,0.0240176,62711948
coarse,read_only,8,1000000,0.00120389,3143208
coarse,read_write,8,1000000,0.00885015,23108608
coarse,write_only,12,10000,0.00907694,23700728
coarse,read_only,12,10000,0.00134985,3524372
coarse,read_write,12,10000,0.00425853,11119496
coarse,write_only,12,100000,0.0198062,51715060
coarse,read_only,12,100000,0.00125268,3270806
coarse,read_write,12,100000,0.00724686,18921914
coarse,write_only,12,1000000,0.0242127,63221478
coarse,read_only,12,1000000,0.00126096,3292448
coarse,read_write,12,1000000,0.00894487,23355350
coarse,write_only,1,10000,0.0091305,23840330
coarse,read_only,1,10000,0.00122626,3201312
coarse,read_write,1,10000,0.0041084,10727272
coarse,write_only,1,100000,0.0187782,49031010
coarse,read_only,1,100000,0.00113708,2968994
coarse,read_write,1,100000,0.00772384,20166892
coarse,write_only,1,1000000,0.0237209,61937834
coarse,read_only,1,1000000,0.00117873,3077642
coarse,read_write,1,1000000,0.00880951,23001584
coarse,write_only,2,10000,0.00897086,23423578
coarse,read_only,2,10000,0.00124456,3249288
coarse,read_write,2,10000,0.0040843,10664350
coarse,write_only,2,100000,0.0190898,49844200
coarse,read_only,2,100000,0.00118864,3103580
coarse,read_write,2,100000,0.00741801,19369252
coarse,write_only,2,1000000,0.023394,61083670
coarse,read_only,2,1000000,0.00117435,3066318
coarse,read_write,2,1000000,0.00882248,23036002
coarse,write_only,4,10000,0.00989679,25840528
coarse,read_only,4,10000,0.00126584,3304990
coarse,read_write,4,10000,0.00419872,10963226
coarse,write_only,4,100000,0.0192043,50143280
coarse,read_only,4,100000,0.00123277,3218748
coarse,read_write,4,100000,0.00745981,19477968
coarse,write_only,4,1000000,0.0234049,61112082
coarse,read_only,4,1000000,0.0011801,3081304
coarse,read_write,4,1000000,0.00907459,23694608
coarse,write_only,8,10000,0.00911534,23801062
coarse,read_only,8,10000,0.00133754,3491996
coarse,read_write,8,10000,0.00409714,10697858
coarse,write_only,8,100000,0.0200891,52454014
coarse,read_only,8,100000,0.00122116,3188538
coarse,read_write,8,100000,0.00715044,18670388
coarse,write_only,8,1000000,0.0236264,61690400
coarse,read_only,8,1000000,0.00120987,3159014
coarse,read_write,8,1000000,0.00912259,23819434
coarse,write_only,12,10000,0.0093523,24419798
coarse,read_only,12,10000,0.0013599,3550428
coarse,read_write,12,10000,0.00420349,10975814
coarse,write_only,12,100000,0.0185964,48556598
coarse,read_only,12,100000,0.00126906,3313574
coarse,read_write,12,100000,0.00805371,21028534
coarse,write_only,12,1000000,0.023821,62197960
coarse,read_only,12,1000000,0.00123393,3221840
coarse,read_write,12,1000000,0.00901354,23534516
coarse,write_only,1,10000,0.00913727,23858024
coarse,read_only,1,10000,0.00121623,3175514
coarse,read_write,1,10000,0.00416205,10867502
coarse,write_only,1,100000,0.0183197,47834118
coarse,read_only,1,100000,0.00119864,3129518
coarse,read_write,1,100000,0.00838539,21894498
coarse,write_only,1,1000000,0.0236432,61734148
coarse,read_only,1,1000000,0.00116373,3038432
coarse,read_write,1,1000000,0.00895203,23374568
coarse,write_only,2,10000,0.00920852,24044240
coarse,read_only,2,10000,0.00127693,3333780
coarse,read_write,2,10000,0.004095,10692518
coarse,write_only,2,100000,0.0187044,48838110
coarse,read_only,2,100000,0.0011846,3093068
coarse,read_write,2,100000,0.0077891,20338100
