length,avg_time_ns,min_time_ns,max_time_ns,avg_cycles,min_cycles,max_cycles
1105000,414434,397878,440295,1081279,1038200,1148596
1110000,413870,402663,426072,1079991,1050348,1112144
1115000,425947,416588,453002,1111519,1087336,1182218
1120000,413841,406740,431300,1079976,1061672,1125814
1125000,422510,416642,432111,1102732,1087582,1128032
1130000,408447,397101,421846,1065873,1036388,1101174
1135000,435182,426391,449913,1135546,1113022,1174384
1140000,430728,420335,438566,1123787,1096996,1144594
1145000,430763,422015,453864,1123769,1101032,1184546
1150000,413108,406332,425231,1077766,1060404,1109906
1155000,439278,432931,455280,1146202,1129844,1187620
1160000,445605,419708,499846,1162734,1095410,1303750
1165000,448259,440580,461353,1169642,1150186,1204060
1170000,445212,436651,458181,1161589,1139494,1194906
1175000,458098,448874,468229,1195304,1171106,1221946
1180000,454968,444178,471236,1187117,1159312,1229850
1185000,455476,443192,476676,1188345,1156676,1243736
1190000,449140,440263,461589,1171916,1148490,1204862
1195000,450560,439935,462288,1175621,1148314,1206520
1200000,463804,457483,477173,1210241,1193524,1245522
1205000,476068,464235,522195,1242107,1211580,1362480
1210000,469160,459517,488976,1224216,1198730,1276096
1215000,465171,453671,482264,1213630,1184036,1258452
1220000,475345,458960,499748,1240400,1197820,1304564
1225000,486593,473628,522843,1269623,1235788,1364118
1230000,474415,463744,493305,1237712,1210180,1286732
1235000,468646,458237,482178,1222973,1195934,1258058
1240000,479169,469290,497292,1250377,1224816,1297608
1245000,490806,483391,507347,1280719,1261400,1324184
1250000,494257,471890,531441,1289540,1231622,1386124
1255000,500449,487848,518439,1305753,1272906,1353034
1260000,499420,488387,527500,1302982,1274120,1376652
1265000,502794,493435,521661,1311803,1287916,1361402
1270000,501331,483886,535076,1308048,1262892,1395812
1275000,501180,491220,516190,1307511,1281314,1346392
1280000,480555,470846,496983,1253772,1228712,1296586
1285000,514215,503209,528971,1341563,1313024,1380138
1290000,511216,499973,537794,1333988,1304892,1403510
1295000,523063,514536,535631,1364837,1342700,1397954
1300000,506756,497755,528579,1322115,1299106,1378416
1305000,524138,511653,543884,1367792,1335586,1419782
1310000,521661,514807,541247,1361132,1343484,1412604
1315000,518982,509633,539633,1354102,1329864,1408546
1320000,504844,494325,523926,1317378,1290186,1367440
1325000,527025,503347,558621,1375270,1313682,1457560
1330000,536974,526588,559391,1400924,1373718,1459352
1335000,541626,527816,555059,1413352,1377504,1448710
1340000,537546,528972,555507,1402495,1380566,1449882
1345000,552738,539536,585025,1442213,1407758,1526596
1350000,545361,533941,562184,1423007,1393476,1467294
1355000,549928,535049,571496,1435010,1396748,1491564
1360000,543104,530494,586696,1417014,1384302,1531074
1365000,525958,511939,547027,1372331,1335810,1427598
1370000,554027,543365,575830,1445671,1417996,1503056
1375000,561352,553114,583360,1464786,1442854,1522636
1380000,555262,549005,582211,1448707,1432072,1519224
1385000,554242,540846,566489,1445878,1410756,1478648
1390000,567064,555568,593647,1479567,1449270,1549090
1395000,571562,558860,600667,1491391,1458056,1567352
1400000,556311,543494,582994,1451747,1417988,1521322
1405000,559956,537162,629556,1461040,1401796,1642884
1410000,556533,524670,613527,1452135,1369166,1601064
1415000,577639,566223,603762,1507019,1476996,1575118
1420000,575462,568372,587558,1501555,1483056,1533642
1425000,583269,572584,601267,1521933,1494056,1568992
1430000,581214,570778,604198,1516312,1489234,1576644
1435000,595900,584518,618478,1555032,1525428,1614220
1440000,579132,563786,608567,1511145,1471418,1588232
1445000,592876,572179,610261,1547039,1493510,1591878
1450000,561945,539832,602862,1466403,1408750,1573098
1455000,593199,581678,605170,1547609,1517994,1579018
1460000,590034,582686,610149,1539748,1520856,1592406
1465000,606298,581047,653873,1582049,1516714,1706410
1470000,585570,572851,618865,1527638,1494788,1614318
1475000,611275,599730,627699,1594876,1565192,1637474
1480000,610121,585387,704941,1592078,1527930,1839864
1485000,601034,588148,637012,1568013,1534622,1662156
1490000,591565,576217,629470,1543690,1503866,1642964
1495000,599819,587896,637735,1565163,1534454,1664102
1500000,605404,582506,645098,1579521,1519946,1683436
1505000,610547,596811,646611,1593176,1557840,1687388
1510000,619316,603413,640531,1616068,1574252,1671288
1515000,615208,598001,645897,1605308,1560896,1685740
