length,avg_time_ns,min_time_ns,max_time_ns,avg_cycles,min_cycles,max_cycles
1355000,920506,830077,1.09048e+06,2400863,2165270,2846026
1360000,873931,799826,1.00419e+06,2276546,2086400,2619238
1365000,878298,846688,923354,2289972,2207922,2407276
1370000,916343,841550,1.18334e+06,2389950,2195728,3082644
1375000,933577,865639,1.02105e+06,2435361,2259020,2663428
1380000,889847,827900,980331,2321452,2160308,2556720
1385000,1.02999e+06,798470,1.65988e+06,2687206,2083352,4330984
1390000,941325,785908,1.10148e+06,2455521,2050736,2874082
1395000,946593,846497,1.27003e+06,2469699,2208648,3313992
1400000,902893,824299,987064,2354761,2149928,2575224
1405000,952336,874999,1.16642e+06,2483995,2282124,3041858
1410000,956923,888070,1.1013e+06,2495880,2315838,2873652
1415000,928788,827716,1.02315e+06,2422253,2160016,2668544
1420000,971396,874183,1.13304e+06,2533847,2280558,2956130
1425000,1.13332e+06,933100,1.25766e+06,2955442,2434750,3280264
1430000,1.0335e+06,947329,1.18702e+06,2695543,2470568,3096726
1435000,1.02098e+06,903748,1.24045e+06,2662566,2357160,3234492
1440000,991041,898876,1.28163e+06,2585697,2345828,3342698
1445000,942868,904595,1.05607e+06,2457532,2350254,2754396
1450000,978226,862669,1.18766e+06,2551301,2250584,3098436
1455000,1.15711e+06,968800,1.89633e+06,3017948,2525760,4948234
1460000,950019,850990,1.01171e+06,2478365,2220996,2639514
1465000,1.04229e+06,939645,1.14552e+06,2718333,2451834,2988736
1470000,1.02827e+06,916336,1.26001e+06,2682600,2389004,3288090
1475000,993419,908081,1.07249e+06,2591434,2368782,2797756
1480000,1.04128e+06,934485,1.2251e+06,2716446,2436646,3197394
1485000,1.05816e+06,1.0106e+06,1.17546e+06,2760251,2634690,3066828
1490000,986285,930352,1.15905e+06,2572802,2427422,3022432
1495000,1.038e+06,907566,1.23749e+06,2707978,2367010,3228468
1500000,1.02063e+06,881642,1.15146e+06,2662670,2301180,3003330
1505000,1.05162e+06,903627,1.26677e+06,2742770,2357696,3304430
1510000,1.05499e+06,976242,1.19511e+06,2751648,2547170,3117354
1515000,1.03225e+06,936071,1.19112e+06,2692520,2442074,3107088
1520000,1.0794e+06,964062,1.15587e+06,2815430,2513566,3015842
1525000,1.00746e+06,926842,1.09829e+06,2627517,2416868,2862124
1530000,1.0917e+06,975476,1.31933e+06,2846848,2543904,3441732
1535000,998586,925341,1.11849e+06,2604013,2414528,2916654
