length,avg_time_ns,min_time_ns,max_time_ns,avg_cycles,min_cycles,max_cycles
1310000,628312,607014,647648,1639198,1584480,1688864
1315000,612452,600374,640301,1598276,1566824,1670908
1320000,615364,604368,635374,1605658,1577572,1657606
1325000,621200,609608,674140,1620715,1591076,1759572
1330000,650922,620982,693713,1698407,1620786,1809022
1335000,634742,614799,650837,1655944,1604556,1698398
1340000,644527,625849,671833,1681616,1632966,1752312
1345000,634751,620921,658709,1656468,1620820,1719304
1350000,648642,630051,699095,1692728,1644646,1823510
1355000,658264,625123,724618,1717339,1631682,1890142
1360000,655581,637263,684107,1710498,1663288,1784178
1365000,614724,605226,631731,1604162,1579724,1648742
1370000,651309,642617,674738,1699979,1677412,1760962
1375000,646076,631431,671954,1685964,1647508,1753474
1380000,672255,643692,708048,1754159,1679864,1847518
1385000,666777,636296,711805,1739835,1660748,1856808
1390000,673799,658703,693956,1757816,1719398,1809704
1395000,664495,639090,713907,1734045,1668064,1862340
1400000,661189,643250,679323,1725192,1679032,1772610
1405000,643551,628775,664775,1679553,1640554,1735216
1410000,675885,651306,717379,1763487,1699996,1871830
1415000,696737,667051,750942,1817838,1741088,1958830
1420000,698712,672368,730563,1823144,1754654,1906844
1425000,671450,653252,684061,1751844,1704898,1784670
1430000,703398,674937,739346,1835289,1761546,1928770
1435000,689741,669058,730351,1799604,1746242,1905790
1440000,689035,675118,726288,1798162,1762236,1895120
1445000,690576,663779,761337,1801528,1732442,1986876
1450000,680081,649218,777768,1774735,1694498,2028830
1455000,708520,686356,738634,1848387,1789706,1927674
1460000,713759,689637,743961,1862311,1799824,1940188
1465000,696958,680038,712145,1818153,1774620,1858480
1470000,698542,680720,747080,1822906,1776190,1948870
1475000,706390,691763,731047,1843191,1805710,1907894
1480000,715029,693488,752455,1865618,1809934,1963958
1485000,696835,681512,731323,1818334,1778548,1907826
1490000,709928,686265,747513,1852172,1791342,1950230
1495000,722606,702295,759976,1885540,1832160,1983528
1500000,743706,730681,756699,1940468,1905920,1973232
1505000,734747,704249,770724,1917268,1838162,2011400
1510000,738155,713393,778673,1926023,1862130,2032296
1515000,725283,704794,758933,1892439,1839000,1979794
1520000,741944,733600,766177,1935939,1914764,1999388
1525000,728181,713362,755961,1900227,1861772,1972266
1530000,729084,709376,749966,1902087,1851050,1956714
1535000,700177,680059,725813,1827102,1774610,1894208
1540000,748483,734247,784073,1953249,1916146,2045956
1545000,738716,721942,797099,1927791,1883870,2079350
1550000,749523,727328,811510,1955951,1898288,2117148
1555000,759751,730560,828315,1982061,1905672,2161072
1560000,769772,742081,824748,2008189,1935260,2151750
1565000,766108,740232,796894,1998732,1931746,2078758
1570000,760824,741811,798388,1985046,1936194,2082756
1575000,754656,723933,801944,1969297,1889568,2093242
1580000,781447,759073,816228,2039134,1981120,2129788
1585000,776167,751343,807509,2024840,1961108,2106694
1590000,785484,761838,815790,2049677,1988282,2128070
1595000,787185,750899,834586,2053829,1959498,2176640
1600000,787127,760654,820747,2053405,1984770,2142276
1605000,782200,760148,811472,2040904,1983904,2116744
1610000,784793,767690,812900,2047693,2003392,2120420
1615000,779632,765688,798659,2034216,1997938,2084650
1620000,765621,753146,793853,1997829,1964658,2071464
1625000,781041,767630,801798,2037917,2003380,2091544
1630000,801840,787988,816046,2092464,2056666,2128704
1635000,791524,767776,819268,2065233,2003998,2137606
1640000,794727,779064,823536,2073807,2033520,2148968
1645000,791408,773256,811938,2065773,2018422,2119254
1650000,799189,785419,834226,2085147,2049924,2177260
1655000,788898,775222,826191,2059049,2023674,2155808
1660000,807807,790098,873803,2107822,2061370,2280100
1665000,807289,792328,834325,2106412,2067944,2176824
1670000,810815,797952,842023,2116062,2082576,2197330
1675000,808737,789600,837306,2110241,2060862,2185252
1680000,822644,812002,860243,2146967,2119546,2245368
1685000,779810,769498,798306,2034635,2008330,2082736
1690000,828807,806764,861328,2162605,2105702,2246456
1695000,822373,795882,863846,2145823,2077238,2252826
1700000,835172,813352,868330,2179389,2122918,2265946
1705000,815057,789656,856006,2126495,2061252,2232992
1710000,834219,815363,854033,2176598,2127638,2228064
1715000,862970,840430,902297,2251809,2192530,2354934
1720000,868222,834826,912243,2265466,2178376,2380304
1725000,850448,812820,901353,2219305,2121592,2352144
1730000,858826,825790,905890,2241279,2155080,2364420
1735000,851908,815406,902083,2222780,2128440,2354358
1740000,851811,825108,920166,2222556,2153954,2400596
1745000,839934,816398,937757,2191707,2130644,2446544
1750000,868722,850590,928763,2267044,2220416,2423210
1755000,855168,839564,911256,2231477,2190492,2377236
1760000,867190,840286,894539,2262950,2193348,2334436
1765000,862447,843429,915858,2250586,2200444,2390300
1770000,831216,816654,856980,2168960,2130560,2236550
1775000,883776,858109,914128,2306189,2239864,2385348
1780000,884719,855465,916050,2308485,2232796,2390064
1785000,869556,845579,896200,2268964,2206868,2337816
1790000,866568,840103,916934,2261117,2192958,2391484
1795000,875707,849742,933733,2285381,2217858,2436892
1800000,930019,896864,1.0206e+06,2426223,2339752,2662332
1805000,884297,853154,1.01059e+06,2307499,2226508,2636766
1810000,880886,868325,918597,2298846,2266086,2397298
1815000,883089,873466,910236,2304088,2279996,2375642
1820000,896050,880318,942978,2338660,2297890,2461130
1825000,887991,858535,970367,2317137,2240794,2532330
1830000,927256,873618,1.24105e+06,2419557,2280400,3238666
1835000,894354,871678,936895,2333266,2273798,2443696
1840000,928858,902919,970178,2423801,2356676,2531794
1845000,905804,881436,970032,2363672,2300316,2531398
1850000,908339,892469,947271,2369999,2329340,2471418
1855000,885404,866299,913444,2310282,2261304,2383098
1860000,950993,923219,997760,2481252,2408488,2603442
1865000,926353,899002,968128,2417123,2346650,2525922
1870000,926453,899469,965323,2417672,2347906,2519014
1875000,909637,865318,964250,2373479,2258738,2515372
1880000,926511,907842,975665,2417572,2368534,2546028
1885000,938594,922333,988062,2449413,2406556,2578442
1890000,928861,908343,969405,2424215,2371122,2529442
1895000,928483,914945,963911,2423029,2387102,2514664
1900000,955141,929898,1.00433e+06,2492385,2427500,2619214
1905000,947811,922870,997526,2473077,2408928,2602442
1910000,952165,913343,1.00738e+06,2484494,2383940,2629216
1915000,922837,903808,1.00093e+06,2408505,2359004,2612204
1920000,911079,898554,941509,2377193,2345304,2455916
1925000,938097,925919,966498,2448324,2416478,2522048
1930000,970179,940300,1.00916e+06,2531886,2454292,2632876
1935000,969400,940719,1.01492e+06,2529826,2455696,2648686
1940000,972480,939213,1.0455e+06,2537607,2451370,2727994
1945000,956208,943599,996825,2495159,2462850,2601124
1950000,955898,944241,993954,2495065,2464636,2594338
1955000,964386,936180,1.01398e+06,2516573,2443514,2645738
1960000,954907,930313,1.02218e+06,2491971,2427942,2667408
1965000,961910,927712,1.06784e+06,2510355,2421358,2786520
1970000,999158,973875,1.04326e+06,2607840,2542046,2723284
1975000,972959,952368,1.01762e+06,2539258,2485822,2655888
1980000,1.00229e+06,967301,1.04739e+06,2615661,2524864,2732822
1985000,999110,967445,1.05507e+06,2607258,2524472,2753906
1990000,999730,973469,1.05065e+06,2609161,2541128,2742108
1995000,974074,956927,1.02701e+06,2542173,2497814,2680506
2000000,993503,965556,1.04277e+06,2592563,2520120,2721196
